"id";"first_name";"last_name";"email_id";"book_id"
2;"Nida";"Khan";"example1@gmail.com";1
3;"Jane";"Sabini";"albert@gmail.com";1
4;"Albert";"Salomo";"albert@gmail.com";0
5;"Albert";"Salomo";"albert@gmail.com";0
6;"Albert";"Salomo";"albert@gmail.com";0
7;"Albert";"Salomo";"albert@gmail.com";0
8;"123";"Salomo";"albert@gmail.com";0
9;"123";"Salomo";"albert@gmail.com";0
10;"123";"Salomo";"albert@gmail.com";0
11;"123";"Salomo";"albert@gmail.com";0
12;"true";"Salomo";"albert@gmail.com";0
14;"true";"Salomo";"albert@gmail.com";0
15;"true";"Salomo";"albert@gmail.com";0
16;"true";"Salomo";"albert@gmail.com";0
17;"12123";"Salomo";"albert@gmail.com";0
18;"albert";"salochan";"example1@gmail.com";0
19;"sahara 123";"salocha123123n";"sahara@gmail.com";0
